date,strategy,portfolio_value,cash,positions_value,return_pct,num_positions,spy_return_pct,qqq_return_pct
2026-06-09,Max_Return_AI,9994.21,4201.65,5792.56,-0.06,5,,
2026-06-09,Quality_Momentum_AI,9994.99,4988.83,5006.16,-0.05,4,,
2026-06-09,Balanced_AI,9995.44,5434.48,4560.95,-0.05,4,,
2026-06-09,Low_Risk_AI,9997.43,7432.07,2565.36,-0.03,3,,
2026-06-09,MegaCap_AI,9994.19,4180.83,5813.36,-0.06,3,,
2026-06-10,Max_Return_AI,10083.41,4201.65,5881.76,0.83,5,,
2026-06-10,Quality_Momentum_AI,10082.2,4988.83,5093.37,0.82,4,,
2026-06-10,Balanced_AI,10045.03,5434.48,4610.55,0.45,4,,
2026-06-10,Low_Risk_AI,10038.45,7432.07,2606.38,0.38,3,,
2026-06-10,MegaCap_AI,10103.66,4180.83,5922.83,1.04,3,,
2026-06-10,Max_Return_AI,10070.18,4201.65,5868.53,0.7,5,0.0,0.0
2026-06-10,Quality_Momentum_AI,10017.58,4988.83,5028.75,0.18,4,0.0,0.0
2026-06-10,Balanced_AI,9964.1,5434.48,4529.61,-0.36,4,0.0,0.0
2026-06-10,Low_Risk_AI,9988.97,7432.07,2556.9,-0.11,3,0.0,0.0
2026-06-10,MegaCap_AI,9981.49,4180.83,5800.66,-0.19,3,0.0,0.0
2026-06-10,AI_Sentiment_AI,9994.85,4843.98,5150.87,-0.05,4,0.0,0.0
2026-06-10,Max_Return_AI,10076.89,4201.65,5875.24,0.77,5,0.05,0.07
2026-06-10,Quality_Momentum_AI,10024.34,4988.83,5035.51,0.24,4,0.05,0.07
2026-06-10,Balanced_AI,9969.87,5434.48,4535.38,-0.3,4,0.05,0.07
2026-06-10,Low_Risk_AI,9992.87,7432.07,2560.8,-0.07,3,0.05,0.07
2026-06-10,MegaCap_AI,9989.09,4180.83,5808.26,-0.11,3,0.05,0.07
2026-06-10,AI_Sentiment_AI,10002.37,4843.98,5158.39,0.02,4,0.05,0.07
2026-06-10,Max_Return_AI,10031.56,4201.65,5829.91,0.32,5,-0.16,-0.29
2026-06-10,Quality_Momentum_AI,9984.4,4988.83,4995.57,-0.16,4,-0.16,-0.29
2026-06-10,Balanced_AI,9941.31,5434.48,4506.82,-0.59,4,-0.16,-0.29
2026-06-10,Low_Risk_AI,9973.53,7432.07,2541.46,-0.26,3,-0.16,-0.29
2026-06-10,MegaCap_AI,9950.23,4180.83,5769.41,-0.5,3,-0.16,-0.29
2026-06-10,AI_Sentiment_AI,9960.9,4843.98,5116.92,-0.39,4,-0.16,-0.29
2026-06-10,Max_Return_AI,10027.5,4201.65,5825.85,0.28,5,-0.16,-0.34
2026-06-10,Quality_Momentum_AI,9987.08,4988.83,4998.25,-0.13,4,-0.16,-0.34
2026-06-10,Balanced_AI,9944.2,5434.48,4509.71,-0.56,4,-0.16,-0.34
2026-06-10,Low_Risk_AI,9975.99,7432.07,2543.92,-0.24,3,-0.16,-0.34
2026-06-10,MegaCap_AI,9951.96,4180.83,5771.13,-0.48,3,-0.16,-0.34
2026-06-10,AI_Sentiment_AI,9967.01,4843.98,5123.02,-0.33,4,-0.16,-0.34
