strategy,ticker,shares,buy_price,buy_date,current_price,market_value
Momentum_AI,ARM,2.8869192462575244,346.3900146484375,2026-06-09,335.0350036621094,967.2190002421037
Momentum_AI,DDOG,4.316298478994796,231.67999267578125,2026-06-09,232.35000610351562,1002.891977939036
Momentum_AI,CRWD,1.517934445503198,658.7899780273438,2026-06-09,643.2949829101562,976.4796131787173
Momentum_AI,ASML,0.5717422001019532,1749.0400390625,2026-06-09,1791.6700439453125,1024.373372782056
Momentum_AI,SNOW,4.158868840473531,240.4499969482422,2026-06-09,238.15330505371094,990.4483596436659
Momentum_AI,SMCI,22.732438323354334,43.9900016784668,2026-06-09,41.9900016784668,954.5351233532914
Momentum_AI,TSM,2.34301787394867,426.7999877929688,2026-06-09,428.44000244140625,1003.8425836348266
Momentum_AI,NET,4.035675479619796,247.7899932861328,2026-06-09,240.30999755859375,969.8131646547098
Momentum_AI,MDB,2.836396661347846,352.5599975585937,2026-06-09,346.32000732421875,982.3009125323756
Quality_Momentum_AI,ARM,2.8869192462575244,346.3900146484375,2026-06-09,335.0350036621094,967.2190002421037
Quality_Momentum_AI,DDOG,4.316298478994796,231.67999267578125,2026-06-09,232.35000610351562,1002.891977939036
Quality_Momentum_AI,CRWD,1.517934445503198,658.7899780273438,2026-06-09,643.2949829101562,976.4796131787173
Quality_Momentum_AI,TSM,2.34301787394867,426.7999877929688,2026-06-09,428.44000244140625,1003.8425836348266
Quality_Momentum_AI,ASML,0.5717422001019532,1749.0400390625,2026-06-09,1791.6700439453125,1024.373372782056
Quality_Momentum_AI,NET,4.035675479619796,247.7899932861328,2026-06-09,240.30999755859375,969.8131646547098
Quality_Momentum_AI,SMCI,22.732438323354334,43.9900016784668,2026-06-09,41.9900016784668,954.5351233532914
Quality_Momentum_AI,MDB,2.836396661347846,352.5599975585937,2026-06-09,346.32000732421875,982.3009125323756
Quality_Momentum_AI,SNOW,4.158868840473531,240.4499969482422,2026-06-09,238.15330505371094,990.4483596436659
Quality_Momentum_AI,APP,1.7740247222212298,563.6900024414062,2026-06-09,541.530029296875,960.6876597978431
Aggressive_AI,ARM,2.8869192462575244,346.3900146484375,2026-06-09,335.0350036621094,967.2190002421037
Aggressive_AI,DDOG,4.316298478994796,231.67999267578125,2026-06-09,232.35000610351562,1002.891977939036
Aggressive_AI,CRWD,1.517934445503198,658.7899780273438,2026-06-09,643.2949829101562,976.4796131787173
Aggressive_AI,SNOW,4.158868840473531,240.4499969482422,2026-06-09,238.15330505371094,990.4483596436659
Aggressive_AI,SMCI,22.732438323354334,43.9900016784668,2026-06-09,41.9900016784668,954.5351233532914
Aggressive_AI,ASML,0.5717422001019532,1749.0400390625,2026-06-09,1791.6700439453125,1024.373372782056
Aggressive_AI,NET,4.035675479619796,247.7899932861328,2026-06-09,240.30999755859375,969.8131646547098
Aggressive_AI,TSM,2.34301787394867,426.7999877929688,2026-06-09,428.44000244140625,1003.8425836348266
Aggressive_AI,MDB,2.836396661347846,352.5599975585937,2026-06-09,346.32000732421875,982.3009125323756
Low_Risk_AI,ARM,2.8869192462575244,346.3900146484375,2026-06-09,335.0350036621094,967.2190002421037
Low_Risk_AI,DDOG,4.316298478994796,231.67999267578125,2026-06-09,232.35000610351562,1002.891977939036
Low_Risk_AI,TSM,2.34301787394867,426.7999877929688,2026-06-09,428.44000244140625,1003.8425836348266
Low_Risk_AI,ASML,0.5717422001019532,1749.0400390625,2026-06-09,1791.6700439453125,1024.373372782056
Low_Risk_AI,CRWD,1.517934445503198,658.7899780273438,2026-06-09,643.2949829101562,976.4796131787173
Balanced_AI,ARM,2.8869192462575244,346.3900146484375,2026-06-09,335.0350036621094,967.2190002421037
Balanced_AI,DDOG,4.316298478994796,231.67999267578125,2026-06-09,232.35000610351562,1002.891977939036
Balanced_AI,CRWD,1.517934445503198,658.7899780273438,2026-06-09,643.2949829101562,976.4796131787173
Balanced_AI,TSM,2.34301787394867,426.7999877929688,2026-06-09,428.44000244140625,1003.8425836348266
Balanced_AI,ASML,0.5717422001019532,1749.0400390625,2026-06-09,1791.6700439453125,1024.373372782056
Balanced_AI,NET,4.035675479619796,247.7899932861328,2026-06-09,240.30999755859375,969.8131646547098
Balanced_AI,SNOW,4.158868840473531,240.4499969482422,2026-06-09,238.15330505371094,990.4483596436659
Balanced_AI,SMCI,22.732438323354334,43.9900016784668,2026-06-09,41.9900016784668,954.5351233532914
Balanced_AI,MDB,2.836396661347846,352.5599975585937,2026-06-09,346.32000732421875,982.3009125323756
Balanced_AI,APP,1.7740247222212298,563.6900024414062,2026-06-09,541.530029296875,960.6876597978431
